Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"R Auer, B Haslhofer, S Kitzler, P Saggese, F Victor","The technology of decentralized finance (DeFi)",2024,"Digital Finance","Springer","https://link.springer.com/article/10.1007/s42521-023-00088-8","https://scholar.google.com/scholar?cites=9095550909588095387&as_sdt=2005&sciodt=2007&hl=en",1,"2024-08-08 14:07:04","","10.1007/s42521-023-00088-8","","",,,,,49,49.00,10,5,1,"… and how they interact through the lens of a DeFi stack reference (DSR) model featuring three … the financial services for the most relevant DeFi categories, ie, decentralized exchanges, …","https://www.bis.org/publ/work1066.pdf","https://scholar.google.com/scholar?q=related:m8F6qlzjOX4J:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
46,"NS Uzougbo, CG Ikegwu…","Regulatory frameworks for decentralized finance (DEFI): challenges and opportunities",2024,"GSC Advanced Research …","gsconlinepress.com","https://gsconlinepress.com/journals/gscarr/content/regulatory-frameworks-decentralized-finance-defi-challenges-and-opportunities","https://scholar.google.com/scholar?cites=15361811425547399222&as_sdt=2005&sciodt=2007&hl=en",3,"2024-08-08 14:07:04","","","","",,,,,46,46.00,15,3,1,"Decentralized Finance (DeFi) has emerged as a disruptive force in the financial industry, … potential of decentralized finance for global financial inclusion and economic empowerment. …","https://gsconlinepress.com/journals/gscarr/sites/default/files/GSCARR-2024-0170.pdf","https://scholar.google.com/scholar?q=related:NjBK5hkeMNUJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
27,"M Aquilina, J Frost, A Schrimpf","Decentralized finance (DeFi): a functional approach",2024,"Journal of Financial Regulation","academic.oup.com","https://academic.oup.com/jfr/article-abstract/10/1/1/7511072","https://scholar.google.com/scholar?cites=17535744702053522737&as_sdt=2005&sciodt=2007&hl=en",2,"2024-08-08 14:07:04","","","","",,,,,27,27.00,9,3,1,"… Having compared the functions performed in TradFi and DeFi, we show how regulation … financial stability applies to DeFi. Finally, we sketch a possible approach to the regulation of DeFi …","https://repec.cepr.org/repec/cpr/ceprdp/DP17810.pdf","https://scholar.google.com/scholar?q=related:MZ3W7eV6W_MJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
20,"O Adisa, BS Ilugbusi, OC Obi, KF Awonuga…","Decentralized Finance (DEFI) in the US economy: A review: Assessing the rise, challenges, and implications of blockchain-driven financial systems.",2024,"World Journal of …","wjarr.com","https://wjarr.com/content/decentralized-finance-defi-u-s-economy-review-assessing-rise-challenges-and-implications","https://scholar.google.com/scholar?cites=5935563726322911602&as_sdt=2005&sciodt=2007&hl=en",6,"2024-08-08 14:07:04","","","","",,,,,20,20.00,4,5,1,"… analysis of Decentralized Finance (DeFi) within the … DeFi, delineate its role in the US financial landscape, and explore its historical evolution from traditional to blockchain-based finance. …","https://wjarr.com/sites/default/files/WJARR-2024-0321.pdf","https://scholar.google.com/scholar?q=related:cskr2cJbX1IJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
15,"X Sun, C Stasinakis, G Sermpinis","Decentralization illusion in Decentralized Finance: Evidence from tokenized voting in MakerDAO polls",2024,"Journal of Financial Stability","Elsevier","https://www.sciencedirect.com/science/article/pii/S1572308924000718","https://scholar.google.com/scholar?cites=352468888763740766&as_sdt=2005&sciodt=2007&hl=en",14,"2024-08-08 14:07:04","","","","",,,,,15,15.00,5,3,1,"… DeFi investors face a trade-off between decentralization and performance of a DeFi protocol. This … contributes to the contemporary debate over whether DeFi can be truly decentralized. …","https://arxiv.org/pdf/2203.16612","https://scholar.google.com/scholar?q=related:XrIjPZY45AQJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
12,"S Chaliasos, MA Charalambous, L Zhou…","Smart Contract and DeFi Security Tools: Do They Meet the Needs of Practitioners?",2024,"Proceedings of the 46th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3597503.3623302","https://scholar.google.com/scholar?cites=960785559869079599&as_sdt=2005&sciodt=2007&hl=en",85,"2024-08-08 14:07:04","","10.1145/3597503.3623302","","",,,,,12,12.00,3,4,1,"… The growth of the decentralized finance (DeFi) ecosystem … estimated $6.45 billion in financial losses. Researchers have … and auditors working in leading DeFi protocols. Our findings …","https://dl.acm.org/doi/pdf/10.1145/3597503.3623302","https://scholar.google.com/scholar?q=related:L0BSUWBlVQ0J:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
11,"K Malinova, A Park","Learning from DeFi: Would automated market makers improve equity trading?",2024,"Available at SSRN 4531670","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4531670","https://scholar.google.com/scholar?cites=7700649511810837422&as_sdt=2005&sciodt=2007&hl=en",67,"2024-08-08 14:07:04","","","","",,,,,11,11.00,6,2,1,"We explore the potential for automated market makers (AMMs) to enhance traditional financial markets, drawing on their success in the crypto-assets space. The increasing tokenization …","https://www.nhh.no/contentassets/4d755c93951f427db3bfbf30037206cf/amm_4_equities_small_oneday-compressed.pdf","https://scholar.google.com/scholar?q=related:ritFY-4z3moJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
11,"Z Chen, SM Beillahi, F Long","Flashsyn: Flash loan attack synthesis via counter example driven approximation",2024,"Proceedings of the IEEE/ACM 46th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3597503.3639190","https://scholar.google.com/scholar?cites=13566848897193622778&as_sdt=2005&sciodt=2007&hl=en",137,"2024-08-08 14:07:04","","10.1145/3597503.3639190","","",,,,,11,11.00,4,3,1,"… We evaluate FlashSyn on 16 DeFi protocols that were victims to flash loan at… of decentralized financial services (DeFi). As of April 1st, 2023, the Total Value Locked (TVL) in 1,417 DeFi …","https://arxiv.org/pdf/2206.10708","https://scholar.google.com/scholar?q=related:-jygFjEhR7wJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
10,"J Scharfman","Decentralized Finance (DeFi) Fraud and Hacks: Part 3",2024,"… Fraud Casebook, Volume II: DeFi, NFTs, DAOs, Meme …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-60836-0_6","https://scholar.google.com/scholar?cites=7348678011844681849&as_sdt=2005&sciodt=2007&hl=en",23,"2024-08-08 14:07:04","","10.1007/978-3-031-60836-0_6","","",,,,,10,10.00,10,1,1,"… In decentralized finance (DeFi) oracles serve as crucial bridges … the DeFi ecosystem, susceptible to a variety of attacks that can manipulate data feeds, leading to significant financial …","","https://scholar.google.com/scholar?q=related:eeC5gLe_-2UJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
9,"W Mensi, M Gubareva, SH Kang","Frequency connectedness between DeFi and cryptocurrency markets",2024,"… Review of Economics and Finance","Elsevier","https://www.sciencedirect.com/science/article/pii/S1062976923001229","https://scholar.google.com/scholar?cites=13123685411834876541&as_sdt=2005&sciodt=2007&hl=en",136,"2024-08-08 14:07:04","","","","",,,,,9,9.00,3,3,1,"… (2023) explore the drivers of DeFi asset returns … decentralized finance index and compare it with those developed by Nasdaq and find same results. Moreover, the authors find the DeFi …","http://www.aifinconf.org/file/S10/Mensi-Frequency_connectedness_between_DeFi_and_cryptocurrency_markets-110.pdf","https://scholar.google.com/scholar?q=related:fdJkjFmyILYJ:scholar.google.com/&scioq=defi+decentralized+finance&hl=en&as_sdt=2007&as_ylo=2024"
